original_product_url,product_name,size,color_image,colors,description,gender,images,original_price,sale_price,special_offer,brand,website_name,website_domain
https://www.pacsun.com/john-galt/los-angeles-half-zip-sweatshirt-0751454500189.html?country=IN,John Galt Los Angeles Half Zip Sweatshirt,['1SZ   SIZE'],None,['NAVY'],"Pullover sweatshirt Half zip front closure Embroidered frotn detail Long sleeves Ribbed trimming 60% cotton, 30% polyester, 10% viscose Machine washable",women,[],"INR 3,672.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/ps-%2F-la/pacific-sunwear-waves-sweatshirt-0751519630011.html?country=IN,PS / LA Pacific Sunwear Waves Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLACK'],"Crew neckline Long sleeves Graphic at left chest and back Model is wearing a small 50% cotton, 50% polyester Machine washable",women,[],"INR 3,260.00",,Take 17% Off With Code 17OFF,PS / LA,pacsun,www.pacsun.com
https://www.pacsun.com/playboy/bunny-cropped-crew-neck-sweatshirt-0751250500218.html?country=IN,Playboy Bunny Cropped Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['E. HEATHER GREY'],"Fleece lining Crew neckline Short sleeves Raw cut hems Logo embroidery Cropped length Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[],"INR 2,199.00",,,Playboy,pacsun,www.pacsun.com
https://www.pacsun.com/pacsun./norcal-fleece-half-zip-sweatshirt-0751491921696.html?country=IN,PACSUN. Norcal Fleece Half-Zip Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLUE'],Sherpa fleece fabric Stand-up collar Half-zip front closure Long sleeves Elastic band Cropped length Side pockets,women,[],"INR 3,015.00",,Take 17% Off With Code 17OFF,PACSUN.,pacsun,www.pacsun.com
https://www.pacsun.com/stay-golden-smiley-hoodie-0751512830021.html?country=IN,Stay Golden Smiley Hoodie,"['XS    SIZE', 'SML   SIZE']",None,['WHITE'],Solid color sweatshirt Custom graphics Crew neck Long sleeves Ribbed cuffs Drawstring adjustable hood Machine washable,women,[],"INR 3,917.00",,Take 17% Off With Code 17OFF,Pacsun,pacsun,www.pacsun.com
https://www.pacsun.com/champion/crew-neck-sweatshirt-0751499380066.html?country=IN,Champion Crew Neck Sweatshirt,['SML   SIZE'],None,['WHITE'],"Pullover sweatshirt Crew neckline Long sleeves Logo patch at front Relaxed fit 84% cotton, 16% polyester Machine washable",women,[],"INR 4,096.00",,Take 17% Off With Code 17OFF,Champion,pacsun,www.pacsun.com
https://www.pacsun.com/playboy/oversized-crew-neck-sweatshirt-0751250500215.html?country=IN,Playboy Oversized Crew Neck Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['BLUE'],"Crew neckline Long sleeves Oversized fit Logo graphic Side pockets Model is wearing a small 60% cotton, 40% polyester Machine washable",women,[],"INR 3,505.00",,,Playboy,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/colorblocked-hoodie-0751454500334.html?country=IN,John Galt Colorblocked Hoodie,['1SZ   SIZE'],None,['MULTI'],Colorblocked hoodie Kangaroo pocket Long sleeves Adjustable drawstring hood Heavyweight fabrication Machine washable,women,[],"INR 3,672.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/la-hearts/dawn-cropped-half-zip-sweatshirt-0751600120011.html?country=IN,LA Hearts Dawn Cropped Half-Zip Sweatshirt,"['XS    SIZE', 'SML   SIZE', 'MED   SIZE', 'LRG   SIZE']",None,['E. HEATHER GREY'],"Fleece lining Long sleeves Stand-up collar Half-zip front closure Cropped length Model is wearing a small 85% cotton, 15% polyester Machine washable",women,[],"INR 2,852.00",,Take 17% Off With Code 17OFF,LA Hearts,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/meet-in-new-york-hoodie-0751454500330.html?country=IN,John Galt Meet in New York Hoodie,['1SZ   SIZE'],None,['BLACK'],Custom graphics Kangaroo pocket Long sleeves Adjustable drawstring hood Heavyweight fabrication Machine washable,women,[],"INR 3,427.00",,,John Galt,pacsun,www.pacsun.com
https://www.pacsun.com/john-galt/christy-new-york-hoodie-0751454500343.html?country=IN,John Galt Christy New York Hoodie,['1SZ   SIZE'],None,['BLACK/RED'],"Drawcord hood Long sleeves Kangaroo pocket Front graphic Oversized fit 82% cotton, 18% polyester Machine washable",women,[],"INR 3,672.00",,,John Galt,pacsun,www.pacsun.com
